,date,precipitation,temp_mean,temp_highest,temp_lowest,PM10,PM2.5,humidity,sunshine_sum,sunshine_rate,wind_mean,wind_max,rental,days_of_week,year,month,day
0,2018-01-01,-0.5635970584186865,-1.3,3.8,-5.1,34.0,17.0,39.1,8.3,86.5,1.4,3.8,4950,0,2018,01,01
1,2018-01-02,-6.118278762455795,-1.8,1.8,-4.3,36.0,22.0,42.0,7.9,82.3,1.8,4.9,7136,0,2018,01,02
2,2018-01-03,1.7480199436693322,-4.7,-0.4,-7.1,31.0,19.0,42.3,8.6,88.7,2.2,3.5,7156,0,2018,01,03
3,2018-01-04,0.3446203487813957,-4.7,-0.7,-8.7,39.0,24.0,43.0,6.2,63.9,1.4,3.5,7102,0,2018,01,04
4,2018-01-05,-4.010854199463555,-3.0,1.6,-5.6,51.0,35.0,48.4,8.2,84.5,1.7,3.6,7705,0,2018,01,05
5,2018-01-06,-5.320667908595116,-2.8,2.9,-6.8,38.0,27.0,45.8,8.8,90.7,1.5,3.1,5681,1,2018,01,06
6,2018-01-07,13.852934137656884,-0.8,2.8,-5.7,47.0,36.0,42.1,3.1,32.0,0.8,2.5,5220,1,2018,01,07
7,2018-01-08,-6.388292904716593,1.3,4.0,-1.2,49.0,37.0,51.9,0.5,5.2,1.8,7.1,6309,0,2018,01,08
8,2018-01-09,-5.958021047325122,-4.2,-1.2,-6.1,37.0,19.0,59.4,8.4,86.6,2.9,6.1,5988,0,2018,01,09
9,2018-01-10,0.30617152885145416,-7.5,-4.8,-10.3,27.0,13.0,52.0,8.8,89.8,3.0,6.1,4476,0,2018,01,10
10,2018-01-11,13.852934137656884,-11.1,-7.4,-13.6,30.0,22.0,49.8,8.7,88.8,2.8,4.9,4337,0,2018,01,11
11,2018-01-12,0.0,-10.2,-5.4,-15.3,21.0,14.0,35.4,8.8,89.8,1.7,3.6,4401,0,2018,01,12
12,2018-01-13,0.4,-4.4,-1.2,-6.6,48.0,37.0,67.3,0.9,9.2,0.8,1.7,3756,1,2018,01,13
13,2018-01-14,-3.61435250221097,0.6,5.4,-4.4,64.0,50.0,64.1,5.6,57.1,1.2,2.8,4675,1,2018,01,14
14,2018-01-15,0.2,4.7,7.7,1.8,63.0,45.0,63.9,6.5,65.7,1.4,3.3,6993,0,2018,01,15
15,2018-01-16,-5.438395459881118,3.5,6.8,0.1,97.0,74.0,59.1,0.5,5.1,0.7,2.2,7421,0,2018,01,16
16,2018-01-17,3.5488484207983397,4.5,8.7,2.4,99.0,78.0,64.1,4.8,48.5,1.2,3.7,6990,0,2018,01,17
17,2018-01-18,0.0,2.1,4.5,0.3,80.0,56.0,59.6,0.1883129094341296,0.0,1.9,3.8,7054,0,2018,01,18
18,2018-01-19,-5.939571302350718,1.0,5.5,-2.5,51.0,28.0,43.0,8.7,87.9,1.6,3.7,8329,0,2018,01,19
19,2018-01-20,-5.294163516263513,2.2,6.9,-1.0,86.0,56.0,57.6,5.3,53.0,1.6,3.6,6148,1,2018,01,20
20,2018-01-21,-3.6144361172046757,0.4,5.5,-3.7,52.0,33.0,36.6,8.2,82.0,1.0,3.2,5574,1,2018,01,21
21,2018-01-22,3.3,0.2,4.0,-5.3,38.0,21.0,56.5,0.7,7.0,1.5,5.1,4929,0,2018,01,22
22,2018-01-23,2.5308587743482747,-11.7,-5.3,-14.6,21.0,12.0,42.0,9.1,90.1,3.7,5.4,4263,0,2018,01,23
23,2018-01-24,-3.660005843288836,-14.2,-10.7,-16.3,26.0,10.0,31.6,8.9,88.1,3.4,7.2,3370,0,2018,01,24
24,2018-01-25,-2.369190271114423,-14.0,-9.5,-16.4,22.0,12.0,32.6,8.3,82.2,2.8,4.8,3307,0,2018,01,25
25,2018-01-26,13.7503987423643,-14.8,-10.7,-17.8,28.0,18.0,34.9,0.1883129094341296,0.0,2.6,4.6,3116,0,2018,01,26
26,2018-01-27,-3.9620715285757697,-9.9,-3.5,-15.9,37.0,26.0,37.4,9.0,88.2,1.4,3.4,2833,1,2018,01,27
27,2018-01-28,-2.0984850052985013,-6.3,-1.2,-9.3,26.0,17.0,36.0,7.6,74.5,2.6,5.6,3028,1,2018,01,28
28,2018-01-29,-6.351393414767784,-8.5,-4.7,-11.6,39.0,16.0,35.0,8.9,87.3,2.7,6.2,4425,0,2018,01,29
29,2018-01-30,2.9,-5.3,-0.8,-11.4,36.0,20.0,62.0,5.6,54.4,1.3,3.8,3591,0,2018,01,30
30,2018-01-31,-0.24065765469600997,-2.6,0.0,-5.2,35.0,18.0,54.5,1.8,17.5,1.6,3.4,4104,0,2018,01,31
31,2018-02-01,-4.712955513899672,-4.0,1.2,-8.8,34.0,21.0,44.1,9.1,88.3,1.6,3.9,5821,0,2018,02,01
32,2018-02-02,-3.962908319591758,-2.4,3.8,-7.6,48.0,32.0,51.1,8.8,84.6,1.6,3.6,6557,0,2018,02,02
33,2018-02-03,0.5,-7.3,-2.1,-10.4,31.0,19.0,47.0,9.1,87.5,3.8,5.7,3499,1,2018,02,03
34,2018-02-04,-4.586101727576828,-9.5,-5.2,-12.8,27.0,20.0,40.9,9.1,87.5,3.1,5.6,2642,1,2018,02,04
35,2018-02-05,8.643098560833593,-9.4,-5.1,-11.8,23.0,14.0,37.8,9.3,88.6,3.0,5.6,4213,0,2018,02,05
36,2018-02-06,14.028297677252828,-10.1,-5.8,-12.8,27.0,17.0,36.5,9.0,85.7,3.1,4.9,4257,0,2018,02,06
37,2018-02-07,1.8000252580834157,-8.0,-1.6,-13.4,34.0,23.0,39.8,9.2,87.6,1.5,3.3,5028,0,2018,02,07
38,2018-02-08,-5.544223887136361,-4.4,2.0,-9.7,45.0,32.0,43.3,9.2,86.8,1.2,3.0,6114,0,2018,02,08
